ID,support_info,support_after_info,fairness,government_consideration,policy_helpfulness_original,policy_helpfulness,waste_severity,recycling_effort,food_waste_behavior,LocalResidentcode,DailyWasteBags_More than 1 bag,DailyWasteBags_Less than 1 bag,DailyWasteBags_Exactly 1 bag,HousingType_Publicrentalhousing,HousingType_Other,HousingType_Private housing,HousingType_Subsidized housing,AgeRange_18-24,AgeRange_25-34,AgeRange_35-44,AgeRange_45-54,AgeRange_55-64,AgeRange_65+,HighestEducationLevel_Secondary,HighestEducationLevel_DiplomaorBachelor,HighestEducationLevel_Primaryorbelow,HighestEducationLevel_Masterorabove,"HouseholdMonthlyIncomeRange_15,001-30,000","HouseholdMonthlyIncomeRange_30,001-50,000","HouseholdMonthlyIncomeRange_50,001-70,000",HouseholdMonthlyIncomeRange_AboveHK70k,HouseholdMonthlyIncomeRange_Below15k,recycle_frequency,household_size,Q1_score,Q2_score,Q3_score,total_score,height,Distance to Nearest Recycling Facility,error,Distance_artificial
23,4,4,3,3,1,1,3,2,never_seen,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,1,2,1.7,300,34.86800216,223.2466667
24,2,2,2,2,2,2,3,3,seen_not_used,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,1,1.65,200,20.98954082,147.3266667
25,4,3,3,3,4,3,3,2,seen_and_used,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,0,1,1,2,1.84,300,86.01153004,257.34
26,4,5,4,3,5,4,3,3,seen_not_used,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,1,0,1,0,1,1.68,200,-5.061194588,129.96
27,1,2,1,1,1,1,3,4,never_seen,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,4,0,1,0,1,1.74,100,-10.35273566,59.76666667
28,4,4,4,2,4,3,3,2,never_seen,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,1,1,2,1.75,300,-68.96098736,154.0266667
29,2,2,2,1,1,1,3,3,seen_not_used,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,0,1,1.65,200,-83.67506202,77.54666667
30,5,2,3,2,5,4,3,1,seen_not_used,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,0,1,1,2,1.79,400,34.32874658,289.5533333
31,3,4,4,2,4,3,3,2,seen_not_used,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,3,0,1,0,1,1.85,300,63.69920905,242.4666667
32,2,3,2,2,2,2,3,2,seen_not_used,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,5,0,1,1,2,1.9,300,108.0386219,272.0266667
33,4,4,2,4,2,2,2,2,seen_and_used,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,1,2,1.71,300,-127.2082865,115.1933333
34,4,3,3,3,4,3,3,2,seen_and_used,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,1,1.71,300,-50.58166259,166.28
35,4,4,3,2,4,3,3,3,seen_and_used,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,1,0,1,1.72,200,70.36763358,180.2466667
36,3,4,3,4,4,3,3,3,seen_and_used,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,1,1,1.73,200,64.20466682,176.1333333
37,4,4,4,2,4,3,3,3,seen_and_used,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,1,1.59,200,24.50827539,149.6733333
38,4,4,4,4,4,3,3,3,seen_and_used,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,1,0,1,1.84,200,-34.9888691,110.0066667
39,4,4,4,4,4,3,2,1,seen_not_used,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,1,1,2,1.75,400,13.92574339,275.9533333
40,4,4,4,4,4,3,3,2,never_seen,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,0,1,1,2,1.73,300,14.63096045,209.7533333
41,3,3,3,3,4,3,3,2,never_seen,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,1,0,1,1.61,300,-73.25515096,151.16
42,4,4,4,3,4,3,3,2,seen_not_used,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,2,0,1,0,1,1.86,300,31.8629747,221.24
43,5,4,4,2,4,3,3,3,never_seen,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,1,1,1.79,200,10.10093752,140.0666667
44,2,2,3,1,2,2,3,3,never_seen,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,1,0,1,1.8,200,-23.28238404,117.8133333
45,5,5,5,3,4,3,4,2,never_seen,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,1,1.78,300,-74.15092035,150.5666667
46,1,1,2,1,1,1,2,2,never_seen,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,1,1,2,1.63,300,-3.439214483,197.7066667
47,2,3,2,1,2,2,2,2,never_seen,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,1,2,1.68,300,33.60320685,222.4
48,3,4,4,3,2,2,2,2,never_seen,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,1,0,1,1.64,300,41.40803018,227.6066667
49,1,1,1,1,1,1,2,3,seen_not_used,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,1,1,2,1.74,200,6.445426903,137.6333333
50,2,2,1,2,4,3,2,2,seen_and_used,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,1,1,3,1.68,300,56.16134918,237.44
51,3,4,4,3,4,3,3,2,never_seen,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,1.58,300,-27.08641627,181.94
52,2,3,2,3,4,3,3,2,seen_and_used,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,1,1,2,1.65,300,128.7293211,285.82
53,4,4,4,4,4,3,2,2,seen_and_used,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,1,1,1.65,300,94.35786898,262.9066667
54,4,4,4,4,4,3,2,2,seen_and_used,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,1,2,1.76,300,110.6541343,273.7666667
55,3,3,4,3,4,3,3,2,never_seen,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5,2,0,1,1,2,1.75,300,-76.75679449,148.8266667
56,1,1,1,1,1,1,4,3,seen_not_used,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,2,1.62,200,-7.42194571,128.3866667
57,1,2,1,1,2,2,3,3,never_seen,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,4,0,1,0,1,1.78,200,-37.1432921,108.5733333
58,1,1,1,1,2,2,2,4,seen_and_used,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,3,0,1,1,2,1.6,100,-14.49203244,57.00666667
59,1,2,2,1,2,2,2,2,never_seen,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,4,0,1,1,2,1.65,300,-42.50903166,171.66
60,2,4,2,1,1,1,3,2,never_seen,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,1,1.94,300,11.74770552,207.8333333
61,3,3,3,2,2,2,3,2,seen_and_used,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,5,0,1,1,2,1.8,300,6.66575459,204.4466667
62,4,4,4,3,4,3,2,2,never_seen,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,2,0,1,0,1,1.78,300,-1.9722072,198.6866667
63,4,4,4,3,2,2,3,2,never_seen,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,3,0,1,0,1,1.62,300,58.71353472,239.14
64,2,3,3,2,2,2,2,2,never_seen,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,2,0,1,0,1,1.73,300,56.38291494,237.5866667
65,3,3,2,2,1,1,3,1,never_seen,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,1,0,1,1.74,400,34.11069972,289.4066667
66,1,2,3,2,4,3,3,2,seen_and_used,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,0,0,1,1,1.58,300,-74.34567382,150.4333333
67,2,2,3,2,2,2,2,2,seen_and_used,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,1,1,3,1.77,300,-143.8343538,104.1133333
68,3,3,3,3,4,3,3,2,seen_not_used,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,1,1,1,3,1.67,300,130.9585393,287.3066667
69,4,4,4,5,4,3,2,3,seen_and_used,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,2,0,1,1,2,1.65,200,-14.83765456,123.44
70,5,3,4,3,1,1,3,2,seen_and_used,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,3,0,1,0,1,1.78,300,-27.97936903,181.3466667
71,2,3,2,2,4,3,3,1,seen_not_used,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,2,1.6,400,-20.25727101,253.16
72,2,3,3,3,5,4,3,2,never_seen,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,1.71,300,14.76335754,209.84
73,4,4,4,4,5,4,3,4,seen_and_used,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,3,0,1,0,1,1.66,100,-75.34120738,16.44
74,3,4,3,2,2,2,2,2,never_seen,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,4,0,1,1,2,1.58,300,-70.7341719,152.8466667
75,3,3,4,3,2,2,2,2,never_seen,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1,1,2,1.65,300,-24.91801306,183.3866667
76,2,3,3,3,2,2,3,3,never_seen,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,4,0,0,1,1,1.68,200,3.635891979,135.76
77,3,3,2,2,4,3,2,1,seen_not_used,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,1,1.67,400,-50.02238118,233.32
78,3,4,4,3,2,2,3,1,never_seen,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,1,1.61,400,-12.45541997,258.36
79,3,3,4,3,4,3,3,1,seen_not_used,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,1,1.69,400,33.19137659,288.7933333
80,5,4,4,4,4,3,3,2,seen_not_used,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,0,0,0,0,1.68,300,-36.50551467,175.66
81,3,3,3,3,5,4,3,2,never_seen,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,4,0,1,1,2,1.78,300,28.92797191,219.2866667
82,3,3,4,3,4,3,3,2,seen_and_used,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,1,2,1.84,300,77.58712495,251.7266667
83,2,3,2,1,2,2,3,2,seen_not_used,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3,1,0,1,2,1.82,300,-99.23756104,133.84
84,3,4,3,3,4,3,3,3,seen_and_used,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,0,0,0,1.71,200,-14.96134761,123.36
85,2,2,1,1,1,1,2,1,never_seen,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,4,0,0,0,0,1.79,400,-73.4978534,217.6666667
86,1,3,4,2,1,1,2,2,never_seen,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,1,1,1.78,300,5.217988117,203.48
87,1,2,1,1,1,1,3,2,never_seen,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,1,1,2,1.67,300,-59.55128411,160.3
88,4,4,4,3,4,3,4,3,never_seen,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,1,1,1,3,1.8,200,-19.50679823,120.3266667
89,5,4,4,3,2,2,3,2,never_seen,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,1,2,1.79,300,13.35723598,208.9066667
90,2,2,2,2,2,2,3,2,seen_not_used,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,3,0,1,0,1,1.83,300,-24.76826176,183.4866667
91,5,5,5,4,4,3,4,1,never_seen,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1.63,400,57.97621593,305.32
92,4,4,4,4,4,3,2,2,never_seen,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,1,1,1.64,300,-19.43065831,187.0466667
93,4,4,3,3,5,4,3,3,never_seen,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,1,0,1,1.79,200,-35.14765001,109.9
94,1,2,2,1,2,2,3,3,seen_not_used,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,1,2,1.59,200,5.510630286,137.0066667
95,1,1,1,1,2,2,2,3,seen_and_used,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,1,0,1,1,2,1.62,200,41.78999068,161.1933333
96,1,1,1,1,1,1,1,4,never_seen,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,5,0,1,0,1,1.69,100,-6.252470734,62.5
97,4,4,3,4,2,2,3,3,never_seen,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,1,2,1.67,200,43.14400064,162.0933333
